    ,visit_id         ,site_url                        ,site_rank ,complete ,banners ,interaction    ,clicked        ,count_fp ,count_tp ,count_tr
115 ,2903689067752809 ,https://cymru.com               ,      115 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      12 ,       0
116 ,6726081950146342 ,https://worldcat.org            ,      116 ,True     ,      1 ,No interaction ,No interaction ,       9 ,      15 ,      11
117 ,8033115408764267 ,https://n-able.com              ,      117 ,True     ,      1 ,No interaction ,No interaction ,      46 ,      23 ,       9
118 ,3111310359260908 ,https://esa.int                 ,      118 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
119 ,5991288967961191 ,https://premierleague.com       ,      119 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       3 ,       2
120 ,6247183191069656 ,https://tinder.com              ,      120 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
121 ,3704687645634036 ,https://breitbart.com           ,      121 ,True     ,      1 ,No interaction ,No interaction ,      22 ,     101 ,      90
122 ,4965991319284433 ,https://goal.com                ,      122 ,True     ,      1 ,No interaction ,No interaction ,       7 ,     239 ,     217
123 ,6596781372756429 ,https://tapjoy.com              ,      123 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      44 ,       6
124 , 749282387816879 ,https://comodo.com              ,      124 ,True     ,      2 ,No interaction ,No interaction ,      17 ,      41 ,      27
125 , 624037988021165 ,https://ebscohost.com           ,      125 ,False    ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
126 ,1386969030676885 ,https://eyeota.net              ,      126 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      28 ,       5
127 ,1999310082104985 ,https://atlasobscura.com        ,      127 ,False    ,      1 ,No interaction ,No interaction ,      30 ,      13 ,      11
128 ,6182995907892627 ,https://thebalance.com          ,      128 ,True     ,      0 ,No interaction ,No interaction ,       0 ,     131 ,     100
129 ,4880093412582693 ,https://adyen.com               ,      129 ,True     ,      1 ,No interaction ,No interaction ,       9 ,       1 ,       0
130 ,3661935020521489 ,https://screenconnect.com       ,      130 ,True     ,      1 ,No interaction ,No interaction ,       0 ,     110 ,      28
131 ,3326260120528490 ,https://iubenda.com             ,      131 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
132 ,1885213969610796 ,https://rockstargames.com       ,      132 ,True     ,      0 ,No interaction ,No interaction ,       9 ,       0 ,       0
133 , 265855017902803 ,https://shadowserver.org        ,      133 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       1 ,       0
